indicator,country,countryiso3code,date,value,indicator_code
"School enrollment, primary (% gross)",Burkina Faso,BFA,2024,77.1665925504108,SE.PRM.ENRR
"School enrollment, primary (% gross)",Burkina Faso,BFA,2023,72.2385948607578,SE.PRM.ENRR
"School enrollment, primary (% gross)",Burkina Faso,BFA,2022,82.2567064320916,SE.PRM.ENRR
"School enrollment, primary (% gross)",Burkina Faso,BFA,2021,87.0183353617198,SE.PRM.ENRR
"School enrollment, primary (% gross)",Burkina Faso,BFA,2020,87.6988473437538,SE.PRM.ENRR
"School enrollment, primary (% gross)",Burkina Faso,BFA,2019,89.7861564043823,SE.PRM.ENRR
"School enrollment, primary (% gross)",Burkina Faso,BFA,2018,91.5019771306419,SE.PRM.ENRR
"School enrollment, primary (% gross)",Burkina Faso,BFA,2017,89.5118329042903,SE.PRM.ENRR
"School enrollment, primary (% gross)",Burkina Faso,BFA,2016,87.4065255935815,SE.PRM.ENRR
"School enrollment, primary (% gross)",Burundi,BDI,2025,100.627548217773,SE.PRM.ENRR
"School enrollment, primary (% gross)",Burundi,BDI,2024,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Burundi,BDI,2023,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Burundi,BDI,2022,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Burundi,BDI,2021,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Burundi,BDI,2020,101.661087301601,SE.PRM.ENRR
"School enrollment, primary (% gross)",Burundi,BDI,2019,101.506122486696,SE.PRM.ENRR
"School enrollment, primary (% gross)",Burundi,BDI,2018,104.256445289133,SE.PRM.ENRR
"School enrollment, primary (% gross)",Burundi,BDI,2017,107.55418011941,SE.PRM.ENRR
"School enrollment, primary (% gross)",Burundi,BDI,2016,112.482124155559,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cabo Verde,CPV,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cabo Verde,CPV,2024,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cabo Verde,CPV,2023,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cabo Verde,CPV,2022,102.973013922324,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cabo Verde,CPV,2021,103.025970530848,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cabo Verde,CPV,2020,103.42828248778,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cabo Verde,CPV,2019,105.208665983159,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cabo Verde,CPV,2018,105.84560911247,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cabo Verde,CPV,2017,104.154022187951,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cabo Verde,CPV,2016,104.433854930994,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cambodia,KHM,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cambodia,KHM,2024,108.971332849667,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cambodia,KHM,2023,107.039014463223,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cambodia,KHM,2022,106.331544381276,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cambodia,KHM,2021,105.282475574163,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cambodia,KHM,2020,107.021018981934,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cambodia,KHM,2019,100.480819545412,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cambodia,KHM,2018,99.6739108443274,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cambodia,KHM,2017,100.69503505776,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cambodia,KHM,2016,101.734266788056,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cameroon,CMR,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cameroon,CMR,2024,114.407278765947,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cameroon,CMR,2023,114.424832636759,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cameroon,CMR,2022,112.494636113484,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cameroon,CMR,2021,110.107790367283,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cameroon,CMR,2020,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cameroon,CMR,2019,106.75480128827,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cameroon,CMR,2018,104.334202125375,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cameroon,CMR,2017,111.221389894314,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cameroon,CMR,2016,117.173043298412,SE.PRM.ENRR
"School enrollment, primary (% gross)",Canada,CAN,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Canada,CAN,2024,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Canada,CAN,2023,95.0100479125977,SE.PRM.ENRR
"School enrollment, primary (% gross)",Canada,CAN,2022,94.7344131469727,SE.PRM.ENRR
"School enrollment, primary (% gross)",Canada,CAN,2021,95.229621887207,SE.PRM.ENRR
"School enrollment, primary (% gross)",Canada,CAN,2020,96.9089736938477,SE.PRM.ENRR
"School enrollment, primary (% gross)",Canada,CAN,2019,97.1875534057617,SE.PRM.ENRR
"School enrollment, primary (% gross)",Canada,CAN,2018,98.6617813110352,SE.PRM.ENRR
"School enrollment, primary (% gross)",Canada,CAN,2017,98.6322402954102,SE.PRM.ENRR
"School enrollment, primary (% gross)",Canada,CAN,2016,98.5500411987305,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cayman Islands,CYM,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cayman Islands,CYM,2024,95.7366909653192,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cayman Islands,CYM,2023,101.441241685144,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cayman Islands,CYM,2022,98.3856700574967,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cayman Islands,CYM,2021,95.4784899034241,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cayman Islands,CYM,2020,97.6523799267715,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cayman Islands,CYM,2019,94.3210930828352,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cayman Islands,CYM,2018,92.0753908759906,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cayman Islands,CYM,2017,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cayman Islands,CYM,2016,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Central African Republic,CAF,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Central African Republic,CAF,2024,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Central African Republic,CAF,2023,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Central African Republic,CAF,2022,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Central African Republic,CAF,2021,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Central African Republic,CAF,2020,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Central African Republic,CAF,2019,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Central African Republic,CAF,2018,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Central African Republic,CAF,2017,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Central African Republic,CAF,2016,96.8125991821289,SE.PRM.ENRR
"School enrollment, primary (% gross)",Chad,TCD,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Chad,TCD,2024,88.464521953345,SE.PRM.ENRR
"School enrollment, primary (% gross)",Chad,TCD,2023,88.3436578594334,SE.PRM.ENRR
"School enrollment, primary (% gross)",Chad,TCD,2022,87.0347316780628,SE.PRM.ENRR
"School enrollment, primary (% gross)",Chad,TCD,2021,86.1454303891421,SE.PRM.ENRR
"School enrollment, primary (% gross)",Chad,TCD,2020,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Chad,TCD,2019,83.264215851602,SE.PRM.ENRR
"School enrollment, primary (% gross)",Chad,TCD,2018,84.3438820337693,SE.PRM.ENRR
"School enrollment, primary (% gross)",Chad,TCD,2017,74.213606832584,SE.PRM.ENRR
"School enrollment, primary (% gross)",Chad,TCD,2016,82.5545773262248,SE.PRM.ENRR
"School enrollment, primary (% gross)",Chile,CHL,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Chile,CHL,2024,99.4942321777344,SE.PRM.ENRR
"School enrollment, primary (% gross)",Chile,CHL,2023,100.318382263184,SE.PRM.ENRR
"School enrollment, primary (% gross)",Chile,CHL,2022,100.192268371582,SE.PRM.ENRR
"School enrollment, primary (% gross)",Chile,CHL,2021,99.3652267456055,SE.PRM.ENRR
"School enrollment, primary (% gross)",Chile,CHL,2020,99.7043991088867,SE.PRM.ENRR
"School enrollment, primary (% gross)",Chile,CHL,2019,101.193206787109,SE.PRM.ENRR
"School enrollment, primary (% gross)",Chile,CHL,2018,101.538017272949,SE.PRM.ENRR
"School enrollment, primary (% gross)",Chile,CHL,2017,101.396278381348,SE.PRM.ENRR
"School enrollment, primary (% gross)",Chile,CHL,2016,101.585189819336,SE.PRM.ENRR
"School enrollment, primary (% gross)",China,CHN,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",China,CHN,2024,99.644962886981,SE.PRM.ENRR
"School enrollment, primary (% gross)",China,CHN,2023,99.1718634239571,SE.PRM.ENRR
"School enrollment, primary (% gross)",China,CHN,2022,100.09807464465,SE.PRM.ENRR
"School enrollment, primary (% gross)",China,CHN,2021,99.2294555866603,SE.PRM.ENRR
"School enrollment, primary (% gross)",China,CHN,2020,98.7860625918346,SE.PRM.ENRR
"School enrollment, primary (% gross)",China,CHN,2019,97.8174906065295,SE.PRM.ENRR
"School enrollment, primary (% gross)",China,CHN,2018,97.8103054615567,SE.PRM.ENRR
"School enrollment, primary (% gross)",China,CHN,2017,97.5379880463436,SE.PRM.ENRR
"School enrollment, primary (% gross)",China,CHN,2016,96.8787921899343,SE.PRM.ENRR
"School enrollment, primary (% gross)",Colombia,COL,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Colombia,COL,2024,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Colombia,COL,2023,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Colombia,COL,2022,104.830467224121,SE.PRM.ENRR
"School enrollment, primary (% gross)",Colombia,COL,2021,106.488357543945,SE.PRM.ENRR
"School enrollment, primary (% gross)",Colombia,COL,2020,107.083686828613,SE.PRM.ENRR
"School enrollment, primary (% gross)",Colombia,COL,2019,109.355506896973,SE.PRM.ENRR
"School enrollment, primary (% gross)",Colombia,COL,2018,111.699180603027,SE.PRM.ENRR
"School enrollment, primary (% gross)",Colombia,COL,2017,113.305381774902,SE.PRM.ENRR
"School enrollment, primary (% gross)",Colombia,COL,2016,115.443153381348,SE.PRM.ENRR
"School enrollment, primary (% gross)",Comoros,COM,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Comoros,COM,2024,97.0049189979678,SE.PRM.ENRR
"School enrollment, primary (% gross)",Comoros,COM,2023,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Comoros,COM,2022,98.0717926025391,SE.PRM.ENRR
"School enrollment, primary (% gross)",Comoros,COM,2021,86.8175281418913,SE.PRM.ENRR
"School enrollment, primary (% gross)",Comoros,COM,2020,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Comoros,COM,2019,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Comoros,COM,2018,107.061915636176,SE.PRM.ENRR
"School enrollment, primary (% gross)",Comoros,COM,2017,106.219296865439,SE.PRM.ENRR
"School enrollment, primary (% gross)",Comoros,COM,2016,,SE.PRM.ENRR
"School enrollment, primary (% gross)","Congo, Dem. Rep.",COD,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)","Congo, Dem. Rep.",COD,2024,,SE.PRM.ENRR
"School enrollment, primary (% gross)","Congo, Dem. Rep.",COD,2023,117.602096557617,SE.PRM.ENRR
"School enrollment, primary (% gross)","Congo, Dem. Rep.",COD,2022,,SE.PRM.ENRR
"School enrollment, primary (% gross)","Congo, Dem. Rep.",COD,2021,120.068450927734,SE.PRM.ENRR
"School enrollment, primary (% gross)","Congo, Dem. Rep.",COD,2020,115.898292541504,SE.PRM.ENRR
"School enrollment, primary (% gross)","Congo, Dem. Rep.",COD,2019,,SE.PRM.ENRR
"School enrollment, primary (% gross)","Congo, Dem. Rep.",COD,2018,111.488670349121,SE.PRM.ENRR
"School enrollment, primary (% gross)","Congo, Dem. Rep.",COD,2017,,SE.PRM.ENRR
"School enrollment, primary (% gross)","Congo, Dem. Rep.",COD,2016,,SE.PRM.ENRR
"School enrollment, primary (% gross)","Congo, Rep.",COG,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)","Congo, Rep.",COG,2024,,SE.PRM.ENRR
"School enrollment, primary (% gross)","Congo, Rep.",COG,2023,87.880241394043,SE.PRM.ENRR
"School enrollment, primary (% gross)","Congo, Rep.",COG,2022,,SE.PRM.ENRR
"School enrollment, primary (% gross)","Congo, Rep.",COG,2021,,SE.PRM.ENRR
"School enrollment, primary (% gross)","Congo, Rep.",COG,2020,,SE.PRM.ENRR
"School enrollment, primary (% gross)","Congo, Rep.",COG,2019,,SE.PRM.ENRR
"School enrollment, primary (% gross)","Congo, Rep.",COG,2018,87.4621124267578,SE.PRM.ENRR
"School enrollment, primary (% gross)","Congo, Rep.",COG,2017,,SE.PRM.ENRR
"School enrollment, primary (% gross)","Congo, Rep.",COG,2016,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Costa Rica,CRI,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Costa Rica,CRI,2024,104.774353027344,SE.PRM.ENRR
"School enrollment, primary (% gross)",Costa Rica,CRI,2023,106.156616210938,SE.PRM.ENRR
"School enrollment, primary (% gross)",Costa Rica,CRI,2022,106.197128295898,SE.PRM.ENRR
"School enrollment, primary (% gross)",Costa Rica,CRI,2021,107.190368652344,SE.PRM.ENRR
"School enrollment, primary (% gross)",Costa Rica,CRI,2020,108.293647766113,SE.PRM.ENRR
"School enrollment, primary (% gross)",Costa Rica,CRI,2019,108.828872680664,SE.PRM.ENRR
"School enrollment, primary (% gross)",Costa Rica,CRI,2018,105.513519287109,SE.PRM.ENRR
"School enrollment, primary (% gross)",Costa Rica,CRI,2017,103.215171813965,SE.PRM.ENRR
"School enrollment, primary (% gross)",Costa Rica,CRI,2016,104.599922180176,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cote d'Ivoire,CIV,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cote d'Ivoire,CIV,2024,93.2964368826882,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cote d'Ivoire,CIV,2023,91.8093412241399,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cote d'Ivoire,CIV,2022,86.4545838787778,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cote d'Ivoire,CIV,2021,85.830088505202,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cote d'Ivoire,CIV,2020,88.6266598469541,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cote d'Ivoire,CIV,2019,88.4747670564693,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cote d'Ivoire,CIV,2018,88.210939705148,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cote d'Ivoire,CIV,2017,88.2052011132348,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cote d'Ivoire,CIV,2016,87.9691851681795,SE.PRM.ENRR
"School enrollment, primary (% gross)",Croatia,HRV,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Croatia,HRV,2024,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Croatia,HRV,2023,101.157791137695,SE.PRM.ENRR
"School enrollment, primary (% gross)",Croatia,HRV,2022,100.527976989746,SE.PRM.ENRR
"School enrollment, primary (% gross)",Croatia,HRV,2021,99.7441482543945,SE.PRM.ENRR
"School enrollment, primary (% gross)",Croatia,HRV,2020,99.4886703491211,SE.PRM.ENRR
"School enrollment, primary (% gross)",Croatia,HRV,2019,99.0015106201172,SE.PRM.ENRR
"School enrollment, primary (% gross)",Croatia,HRV,2018,98.8812103271484,SE.PRM.ENRR
"School enrollment, primary (% gross)",Croatia,HRV,2017,99.2321090698242,SE.PRM.ENRR
"School enrollment, primary (% gross)",Croatia,HRV,2016,98.7909393310547,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cuba,CUB,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cuba,CUB,2024,98.1092191903079,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cuba,CUB,2023,99.3281733831044,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cuba,CUB,2022,100.580196272572,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cuba,CUB,2021,101.302915584834,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cuba,CUB,2020,101.317432743321,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cuba,CUB,2019,100.80254602678,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cuba,CUB,2018,100.343380546441,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cuba,CUB,2017,100.561631481518,SE.PRM.ENRR
"School enrollment, primary (% gross)",Cuba,CUB,2016,101.075891876156,SE.PRM.ENRR
"School enrollment, primary (% gross)",Curacao,CUW,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Curacao,CUW,2024,79.3049163818359,SE.PRM.ENRR
"School enrollment, primary (% gross)",Curacao,CUW,2023,109.168144897769,SE.PRM.ENRR
"School enrollment, primary (% gross)",Curacao,CUW,2022,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Curacao,CUW,2021,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Curacao,CUW,2020,113.350877192982,SE.PRM.ENRR
"School enrollment, primary (% gross)",Curacao,CUW,2019,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Curacao,CUW,2018,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Curacao,CUW,2017,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Curacao,CUW,2016,,SE.PRM.ENRR
"School enrollment, secondary (% gross)",Afghanistan,AFG,2025,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Afghanistan,AFG,2024,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Afghanistan,AFG,2023,59.6136016845703,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Afghanistan,AFG,2022,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Afghanistan,AFG,2021,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Afghanistan,AFG,2020,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Afghanistan,AFG,2019,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Afghanistan,AFG,2018,57.3578491210938,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Afghanistan,AFG,2017,55.5364303588867,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Afghanistan,AFG,2016,53.4350395202637,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Albania,ALB,2025,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Albania,ALB,2024,108.355392456055,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Albania,ALB,2023,96.1368771236947,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Albania,ALB,2022,97.3224714726407,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Albania,ALB,2021,97.665033031442,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Albania,ALB,2020,95.9294474518951,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Albania,ALB,2019,99.01515356567,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Albania,ALB,2018,98.822387862215,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Albania,ALB,2017,97.5743697537481,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Albania,ALB,2016,99.170755047578,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Algeria,DZA,2025,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Algeria,DZA,2024,105.164131811213,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Algeria,DZA,2023,101.264892578125,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Algeria,DZA,2022,104.550270080566,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Algeria,DZA,2021,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Algeria,DZA,2020,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Algeria,DZA,2019,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Algeria,DZA,2018,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Algeria,DZA,2017,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Algeria,DZA,2016,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",American Samoa,ASM,2025,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",American Samoa,ASM,2024,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",American Samoa,ASM,2023,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",American Samoa,ASM,2022,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",American Samoa,ASM,2021,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",American Samoa,ASM,2020,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",American Samoa,ASM,2019,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",American Samoa,ASM,2018,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",American Samoa,ASM,2017,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",American Samoa,ASM,2016,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Andorra,AND,2025,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Andorra,AND,2024,101.923820495605,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Andorra,AND,2023,99.5086517333984,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Andorra,AND,2022,98.5098724365234,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Andorra,AND,2021,98.0404205322266,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Andorra,AND,2020,97.1500396728516,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Andorra,AND,2019,96.2081298828125,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Andorra,AND,2018,95.9804306030273,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Andorra,AND,2017,95.1090393066406,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Andorra,AND,2016,94.6524124145508,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Angola,AGO,2025,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Angola,AGO,2024,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Angola,AGO,2023,51.4839046246776,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Angola,AGO,2022,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Angola,AGO,2021,53.1351542727131,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Angola,AGO,2020,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Angola,AGO,2019,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Angola,AGO,2018,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Angola,AGO,2017,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Angola,AGO,2016,54.4167987304753,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Antigua and Barbuda,ATG,2025,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Antigua and Barbuda,ATG,2024,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Antigua and Barbuda,ATG,2023,108.880778588808,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Antigua and Barbuda,ATG,2022,107.799908772997,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Antigua and Barbuda,ATG,2021,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Antigua and Barbuda,ATG,2020,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Antigua and Barbuda,ATG,2019,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Antigua and Barbuda,ATG,2018,121.685249328613,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Antigua and Barbuda,ATG,2017,117.209930419922,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Antigua and Barbuda,ATG,2016,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Argentina,ARG,2025,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Argentina,ARG,2024,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Argentina,ARG,2023,105.574584297051,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Argentina,ARG,2022,114.14811706543,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Argentina,ARG,2021,115.735778808594,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Argentina,ARG,2020,112.376731872559,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Argentina,ARG,2019,110.460151672363,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Argentina,ARG,2018,109.671241760254,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Argentina,ARG,2017,110.377799987793,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Argentina,ARG,2016,109.598327636719,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Armenia,ARM,2025,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Armenia,ARM,2024,90.9458714101262,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Armenia,ARM,2023,89.4111027634947,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Armenia,ARM,2022,91.7106609922965,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Armenia,ARM,2021,91.4853735120921,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Armenia,ARM,2020,88.5080298201293,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Armenia,ARM,2019,86.8260633029699,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Armenia,ARM,2018,83.0249410833595,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Armenia,ARM,2017,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Armenia,ARM,2016,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Aruba,ABW,2025,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Aruba,ABW,2024,124.379366731084,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Aruba,ABW,2023,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Aruba,ABW,2022,131.802169799805,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Aruba,ABW,2021,123.625907897949,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Aruba,ABW,2020,135.124725341797,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Aruba,ABW,2019,139.320587158203,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Aruba,ABW,2018,137.829788208008,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Aruba,ABW,2017,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Aruba,ABW,2016,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Australia,AUS,2025,,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Australia,AUS,2024,131.931564331055,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Australia,AUS,2023,134.099243164062,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Australia,AUS,2022,133.277267456055,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Australia,AUS,2021,135.526565551758,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Australia,AUS,2020,137.490737915039,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Australia,AUS,2019,144.056564331055,SE.SEC.ENRR
"School enrollment, secondary (% gross)",Australia,AUS,2018,136.105545043945,SE.SEC.ENRR
